actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2019-04-21 23:47 CEST,2,good,urban,0,ABREA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,32.9,0,CHMI,9,19.1,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,urban,0,ACHOA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,18.4,0,CHMI,12,16.2,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,traffic,0,AKALA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,69.1,0,CHMI,32,37.7,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,suburban,0,AKOBA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,48,57.3,CHMI,17,17.5,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,4,suitable,traffic,423,ALEGA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,109.8,0,CHMI,27,26.3,15,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,traffic,0,ALERA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,40,0,Letiste Pr,18,26.4,7,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,suburban,280,ALIBA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,42.7,55.7,CHMI,13.3,22.3,4.8,1.3,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,traffic,0,APRUA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,55.7,0,CHMI,23,19.6,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,4,suitable,urban,0,AREPA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,106.9,0,CHMI,27,24.2,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,suburban,0,ARERA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,67.7,0,ZU Usti nL,34,24.7,27,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,urban,0,ARIEA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,78.4,24.5,CHMI,26,22,5,1.3,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,0,Incomplete data,traffic,0,ASMIA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,0,0,CHMI,0,,,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,urban,0,ASROA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,34.2,0,SZU,12,16.2,8,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,1,very good,urban,0,ASTOA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,25.9,CHMI,15,18.9,10,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,suburban,0,ASUCA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,78.4,CHMI,19,16.7,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,2,good,traffic,0,AVRSA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,34,27.7,0,0,2019-04-21 23:47:00.0
2019-04-21 23:47 CEST,3,fair,traffic,0,AVYNA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,88.2,9.8,CHMI,25,21.5,0,0,2019-04-21 23:47:00.0
2019-04-21 23:26 CEST,2,good,urban,0,ABREA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,32.9,0,CHMI,9,19.1,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,2,good,urban,0,ACHOA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,18.4,0,CHMI,12,16.2,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,3,fair,traffic,0,AKALA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,69.1,0,CHMI,32,37.7,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,2,good,suburban,0,AKOBA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,48,57.3,CHMI,17,17.5,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,4,suitable,traffic,423,ALEGA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,109.8,0,CHMI,27,26.3,15,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,2,good,traffic,0,ALERA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,40,0,Letiste Pr,18,26.4,7,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,2,good,suburban,280,ALIBA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,42.7,55.7,CHMI,13.3,22.3,4.8,1.3,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,3,fair,traffic,0,APRUA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,55.7,0,CHMI,23,19.6,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,4,suitable,urban,0,AREPA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,106.9,0,CHMI,27,24.2,0,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,3,fair,suburban,0,ARERA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,67.7,0,ZU Usti nL,34,24.7,27,0,2019-04-21 23:26:00.0
2019-04-21 23:26 CEST,3,fair,urban,0,ARIEA,2019-04-21 20:00:00.0 UTC,2019-04-21 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,78.4,24.5,CHMI,26,22,5,1.3,2019-04-21 23:26:00.0
