actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2019-04-28 23:47 CEST,2,good,urban,0,ABREA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,30.4,0,CHMI,15,6.5,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,urban,0,ACHOA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,14.3,0,CHMI,2,6.4,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,traffic,0,AKALA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,20.5,0,CHMI,5,8.3,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,suburban,0,AKOBA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,1,64.2,CHMI,12,7.3,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,traffic,365,ALEGA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,39.6,0,CHMI,14,7.3,12,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,traffic,0,ALERA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,38.8,0,Letiste Pr,25,9,17,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,suburban,292,ALIBA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,16.3,58.9,CHMI,3.5,6.5,2.6,1.3,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,0,Incomplete data,traffic,0,APRUA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,0,0,CHMI,17,9.6,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,urban,0,AREPA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,30,0,CHMI,8,9,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,suburban,0,ARERA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,24.3,0,ZU Usti nL,16,7.3,15,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,urban,0,ARIEA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,26.4,48.1,CHMI,2,8.3,3,1.3,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,0,Incomplete data,traffic,0,ASMIA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,0,0,CHMI,0,,,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,urban,0,ASROA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,15.1,0,SZU,7,4.4,6,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,urban,0,ASTOA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,61.2,CHMI,8,6.8,5,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,suburban,0,ASUCA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,57.1,CHMI,8,6.2,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,traffic,0,AVRSA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,9,8.1,0,0,2019-04-28 23:47:00.0
2019-04-28 23:47 CEST,2,good,traffic,0,AVYNA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,24.3,54.3,CHMI,12,6.9,0,0,2019-04-28 23:47:00.0
2019-04-28 23:24 CEST,2,good,urban,0,ABREA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,30.4,0,CHMI,15,6.5,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,urban,0,ACHOA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,14.3,0,CHMI,2,6.4,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,traffic,0,AKALA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,20.5,0,CHMI,5,8.3,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,suburban,0,AKOBA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,1,64.2,CHMI,12,7.3,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,traffic,365,ALEGA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,39.6,0,CHMI,14,7.3,12,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,traffic,0,ALERA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,38.8,0,Letiste Pr,25,9,17,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,suburban,292,ALIBA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,16.3,58.9,CHMI,3.5,6.5,2.6,1.3,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,0,Incomplete data,traffic,0,APRUA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,0,0,CHMI,17,9.6,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,urban,0,AREPA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,30,0,CHMI,8,9,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,suburban,0,ARERA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,24.3,0,ZU Usti nL,16,7.3,15,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,urban,0,ARIEA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,26.4,48.1,CHMI,2,8.3,3,1.3,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,0,Incomplete data,traffic,0,ASMIA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,0,0,CHMI,0,,,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,urban,0,ASROA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,15.1,0,SZU,7,4.4,6,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,urban,0,ASTOA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,61.2,CHMI,8,6.8,5,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,suburban,0,ASUCA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,57.1,CHMI,8,6.2,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,traffic,0,AVRSA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,9,8.1,0,0,2019-04-28 23:24:00.0
2019-04-28 23:24 CEST,2,good,traffic,0,AVYNA,2019-04-28 20:00:00.0 UTC,2019-04-28 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,24.3,54.3,CHMI,12,6.9,0,0,2019-04-28 23:24:00.0
2019-04-28 22:47 CEST,2,good,urban,0,ABREA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,20.3,0,CHMI,3,5.9,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,urban,0,ACHOA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,15.5,0,CHMI,3,6.5,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,traffic,0,AKALA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,14.9,0,CHMI,6,8.3,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,0,Incomplete data,suburban,0,AKOBA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,0,70.4,CHMI,11,7.2,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,3,fair,traffic,354,ALEGA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,65.6,0,CHMI,16,7.3,12,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,traffic,0,ALERA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,36.3,0,Letiste Pr,18,8.4,10,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,3,fair,suburban,287,ALIBA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,13.8,66.2,CHMI,4.6,6.4,4.7,1.3,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,3,fair,traffic,0,APRUA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,26.6,0,CHMI,14,9,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,urban,0,AREPA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,27.2,0,CHMI,13,8.9,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,suburban,0,ARERA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,20.1,0,ZU Usti nL,19,7.2,18,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,urban,0,ARIEA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,22.6,54.5,CHMI,3,8.7,3,1.3,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,0,Incomplete data,traffic,0,ASMIA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,0,0,CHMI,0,,,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,0,Incomplete data,urban,0,ASROA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,0,0,SZU,7,4.4,6,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,urban,0,ASTOA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,64,CHMI,8,6.8,5,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,suburban,0,ASUCA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,60,CHMI,7,6,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,traffic,0,AVRSA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,8,8.1,0,0,2019-04-28 22:47:00.0
2019-04-28 22:47 CEST,2,good,traffic,0,AVYNA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,26.2,52.5,CHMI,4,6.9,0,0,2019-04-28 22:47:00.0
2019-04-28 22:24 CEST,2,good,urban,0,ABREA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,20.3,0,CHMI,3,5.9,0,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,2,good,urban,0,ACHOA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,15.5,0,CHMI,3,6.5,0,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,2,good,traffic,0,AKALA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,14.9,0,CHMI,6,8.3,0,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,0,Incomplete data,suburban,0,AKOBA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,0,70.4,CHMI,11,7.2,0,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,3,fair,traffic,354,ALEGA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,65.6,0,CHMI,16,7.3,12,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,2,good,traffic,0,ALERA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,36.3,0,Letiste Pr,18,8.4,10,0,2019-04-28 22:24:00.0
2019-04-28 22:24 CEST,3,fair,suburban,287,ALIBA,2019-04-28 19:00:00.0 UTC,2019-04-28 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,13.8,66.2,CHMI,4.6,6.4,4.7,1.3,2019-04-28 22:24:00.0
