actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-08-25 07:47 CEST,1,very good,urban,0,ABREA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,12.2,0,CHMI,18,13.1,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,urban,0,ACHOA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,14.9,0,CHMI,15,14,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,traffic,0,AKALA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,18.2,0,CHMI,17,20.3,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,suburban,0,AKOBA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,15.9,18.6,CHMI,13,16.4,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,2,good,traffic,305,ALEGA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,25.6,0,CHMI,15,18.4,10,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,traffic,0,ALERA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,13.6,0,Letiste Pr,20,21.3,22,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,2,good,suburban,196,ALIBA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,15.1,33.7,CHMI,19.3,15,11.8,3.7,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,traffic,0,APRUA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,20.7,0,CHMI,10,21.4,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,urban,0,AREPA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,16.1,0,CHMI,18,17.8,0,0,2018-08-25 07:47:00.0
2018-08-25 07:47 CEST,1,very good,urban,0,ARIEA,2018-08-25 04:00:00.0 UTC,2018-08-25 05:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,15.5,30.1,CHMI,19,16.8,3,1.3,2018-08-25 07:47:00.0
