actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-10-15 23:47 CEST,3,fair,urban,0,ABREA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,39,0,CHMI,44,36.9,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,2,good,urban,0,ACHOA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,12.2,0,CHMI,40,34.3,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,traffic,0,AKALA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,51.1,0,CHMI,61,70.8,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,suburban,0,AKOBA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,15.3,76.4,CHMI,59,43.9,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,traffic,452,ALEGA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,88.8,0,CHMI,48,51.2,26,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,traffic,0,ALERA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,30,0,Letiste Pr,65,54,30,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,2,good,suburban,337,ALIBA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,34.6,47.5,CHMI,38,35.1,26.6,3.5,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,2,good,traffic,0,APRUA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,17.4,0,CHMI,38,49.8,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,urban,0,AREPA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,60.1,0,CHMI,45,56.2,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,suburban,0,ARERA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,20.5,0,ZU Usti nL,52,50.1,33,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,urban,0,ARIEA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,33.1,57.5,CHMI,51,49.9,30,1.3,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,traffic,0,ASMIA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,75,0,CHMI,48,66.5,37,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,2,good,urban,0,ASROA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,27.7,0,SZU,32,34.2,16,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,urban,0,ASTOA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,52.1,CHMI,42,38.9,25,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,suburban,0,ASUCA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,55.9,CHMI,57,40.9,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,3,fair,traffic,0,AVRSA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,59,74.8,0,0,2018-10-15 23:47:00.0
2018-10-15 23:47 CEST,2,good,traffic,0,AVYNA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,36.3,45.5,CHMI,40,54.1,0,0,2018-10-15 23:47:00.0
2018-10-15 23:24 CEST,3,fair,urban,0,ABREA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,39,0,CHMI,44,36.9,0,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,2,good,urban,0,ACHOA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,12.2,0,CHMI,40,34.3,0,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,3,fair,traffic,0,AKALA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,51.1,0,CHMI,61,70.8,0,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,3,fair,suburban,0,AKOBA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,15.3,76.4,CHMI,59,43.9,0,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,3,fair,traffic,452,ALEGA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,88.8,0,CHMI,48,51.2,26,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,3,fair,traffic,0,ALERA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,30,0,Letiste Pr,65,54,30,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,2,good,suburban,337,ALIBA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,34.6,47.5,CHMI,38,35.1,26.6,3.5,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,2,good,traffic,0,APRUA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,17.4,0,CHMI,38,49.8,0,0,2018-10-15 23:24:00.0
2018-10-15 23:24 CEST,3,fair,urban,0,AREPA,2018-10-15 20:00:00.0 UTC,2018-10-15 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,60.1,0,CHMI,45,56.2,0,0,2018-10-15 23:24:00.0
