actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-09-05 23:47 CEST,3,fair,urban,0,ABREA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,36.2,0,CHMI,25,22.5,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,urban,0,ACHOA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,18,0,CHMI,15,21,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,traffic,0,AKALA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,78,0,CHMI,13,29.5,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,suburban,0,AKOBA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,19.9,83.4,CHMI,14,22.1,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,0,Incomplete data,traffic,509,ALEGA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,0,0,CHMI,25,28.6,16,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,traffic,0,ALERA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,54.3,0,Letiste Pr,38,32.7,31,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,suburban,417,ALIBA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,20.3,79.6,CHMI,23,21.7,18.3,3.2,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,traffic,0,APRUA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,22.6,0,CHMI,27,34.1,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,urban,0,AREPA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,82.3,0,CHMI,38,29.5,0,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,suburban,0,ARERA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,52.8,0,ZU Usti nL,26,24.5,16,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,urban,0,ARIEA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,32.1,69.2,CHMI,24,25.7,20,1.3,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,traffic,0,ASMIA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,80.9,0,CHMI,34,36.4,21,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,urban,0,ASROA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,18.6,0,SZU,19,22.3,12,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,urban,0,ASTOA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,73,CHMI,19,25.9,28,0,2018-09-05 23:47:00.0
2018-09-05 23:47 CEST,3,fair,suburban,0,ASUCA,2018-09-05 20:00:00.0 UTC,2018-09-05 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,84.6,CHMI,12,22.3,0,0,2018-09-05 23:47:00.0
