actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-08-12 23:47 CEST,3,fair,urban,0,ABREA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,51.6,0,CHMI,11,10.1,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,2,good,urban,0,ACHOA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,31.6,0,CHMI,11,9.2,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,3,fair,traffic,0,AKALA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,82.3,0,CHMI,27,12.8,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,3,fair,suburban,0,AKOBA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,37.9,70.8,CHMI,24,9.8,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,4,suitable,traffic,470,ALEGA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,121.9,0,CHMI,23,13.3,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,3,fair,traffic,0,ALERA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,69.8,0,Letiste Pr,65,16.3,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,0,Incomplete data,suburban,247,ALIBA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,82.1,0,CHMI,6.6,9.1,0,2.9,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,2,good,traffic,0,APRUA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,21.4,0,CHMI,14,11.8,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,4,suitable,urban,0,AREPA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,108.1,0,CHMI,29,15.3,0,0,2018-08-12 23:47:00.0
2018-08-12 23:47 CEST,3,fair,urban,0,ARIEA,2018-08-12 20:00:00.0 UTC,2018-08-12 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,70.4,35.9,CHMI,10,10.7,0,1.3,2018-08-12 23:47:00.0
