actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2019-04-17 23:48 CEST,3,fair,urban,0,ABREA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,30,0,CHMI,22,25.6,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,0,Incomplete data,urban,0,ACHOA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,0,0,CHMI,22,24.4,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,traffic,0,AKALA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,39.2,0,CHMI,48,41.5,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,suburban,0,AKOBA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,18.7,90,CHMI,24,25.6,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,traffic,497,ALEGA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,79.8,0,CHMI,30,33.3,18,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,2,good,traffic,0,ALERA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,35.6,0,Letiste Pr,37,37.3,13,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,2,good,suburban,294,ALIBA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,29.8,61,CHMI,25.6,23.8,12.4,1.3,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,traffic,0,APRUA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,19.7,0,CHMI,20,38.2,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,urban,0,AREPA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,53.4,0,CHMI,31,33.3,0,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,suburban,0,ARERA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,19.5,0,ZU Usti nL,28,37.1,19,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,urban,0,ARIEA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,33.1,70.6,CHMI,38,30.7,20,1.3,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,0,Incomplete data,traffic,0,ASMIA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,0,0,CHMI,0,,,0,2019-04-17 23:48:00.0
2019-04-17 23:48 CEST,3,fair,urban,0,ASROA,2019-04-17 20:00:00.0 UTC,2019-04-17 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,23.3,0,SZU,19,22.5,12,0,2019-04-17 23:48:00.0
