actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-10-18 23:47 CEST,4,suitable,urban,0,ABREA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,26.2,0,CHMI,90,,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,4,suitable,urban,0,ACHOA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,27.5,0,CHMI,89,80.8,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,4,suitable,traffic,0,AKALA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,29.8,0,CHMI,71,90,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,5,poor,suburban,0,AKOBA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,20.9,50.1,CHMI,111,90,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,5,poor,traffic,676,ALEGA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,62.2,0,CHMI,96,94.4,78,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,5,poor,traffic,0,ALERA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,41.9,0,Letiste Pr,130,118,102,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,4,suitable,suburban,494,ALIBA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,27,59.9,CHMI,81.3,75.5,68,3.7,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,5,poor,traffic,0,APRUA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,52.6,0,CHMI,103,101.4,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,4,suitable,urban,0,AREPA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,41.5,0,CHMI,86,84.7,0,0,2018-10-18 23:47:00.0
2018-10-18 23:47 CEST,5,poor,suburban,0,ARERA,2018-10-18 20:00:00.0 UTC,2018-10-18 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,29.5,0,ZU Usti nL,103,95.1,84,0,2018-10-18 23:47:00.0
