actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-09-02 23:47 CEST,3,fair,urban,0,ABREA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,26,0,CHMI,52,18.1,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,urban,0,ACHOA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,16.8,0,CHMI,21,12.9,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,traffic,0,AKALA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,32.5,0,CHMI,20,12.5,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,suburban,0,AKOBA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,14.3,47.5,CHMI,55,20.4,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,traffic,537,ALEGA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,65.4,0,CHMI,29,17.4,25,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,traffic,0,ALERA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,27.2,0,Letiste Pr,46,21.5,45,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,suburban,317,ALIBA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,32.9,35.7,CHMI,21.9,12.1,22,2.9,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,traffic,0,APRUA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,23.5,0,CHMI,32,16.1,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,urban,0,AREPA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,32.5,0,CHMI,49,17.7,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,suburban,0,ARERA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,13.8,0,ZU Usti nL,20,9.7,18,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,urban,0,ARIEA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,37.5,21.9,CHMI,19,13,8,1.3,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,traffic,0,ASMIA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,13.8,0,CHMI,27,14.4,13,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,urban,0,ASROA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,24.9,0,SZU,23,12.1,21,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,urban,0,ASTOA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,32.5,CHMI,41,12,24,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,suburban,0,ASUCA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,37.7,CHMI,31,14.3,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,3,fair,traffic,0,AVRSA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,42,19.6,0,0,2018-09-02 23:47:00.0
2018-09-02 23:47 CEST,2,good,traffic,0,AVYNA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,35.2,25.1,CHMI,24,15,0,0,2018-09-02 23:47:00.0
2018-09-02 23:24 CEST,3,fair,urban,0,ABREA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,26,0,CHMI,52,18.1,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,urban,0,ACHOA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,16.8,0,CHMI,21,12.9,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,traffic,0,AKALA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,32.5,0,CHMI,20,12.5,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,3,fair,suburban,0,AKOBA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,14.3,47.5,CHMI,55,20.4,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,3,fair,traffic,537,ALEGA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,65.4,0,CHMI,29,17.4,25,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,3,fair,traffic,0,ALERA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,27.2,0,Letiste Pr,46,21.5,45,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,suburban,317,ALIBA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,32.9,35.7,CHMI,21.9,12.1,22,2.9,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,traffic,0,APRUA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,23.5,0,CHMI,32,16.1,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,3,fair,urban,0,AREPA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,32.5,0,CHMI,49,17.7,0,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,suburban,0,ARERA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ARERA,50.030418,14.309517,Praha 5-Reporyje,13.8,0,ZU Usti nL,20,9.7,18,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,urban,0,ARIEA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,37.5,21.9,CHMI,19,13,8,1.3,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,traffic,0,ASMIA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,13.8,0,CHMI,27,14.4,13,0,2018-09-02 23:24:00.0
2018-09-02 23:24 CEST,2,good,urban,0,ASROA,2018-09-02 20:00:00.0 UTC,2018-09-02 21:00:00.0 UTC,airqualityreports,ASROA,50.07515,14.472661,Praha 10-Srobarova,24.9,0,SZU,23,12.1,21,0,2018-09-02 23:24:00.0
