actualized,aqi,aqiDescription,classif,CO,Code,DateFromUTC,DateToUTC,domain_name,identifier,latitude,longitude,name,NO2,O3,owner,PM10,PM10_24,PM2_5,SO2,source_timestamp
2018-08-14 23:47 CEST,3,fair,urban,0,ABREA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,22.4,0,CHMI,19,10.4,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,urban,0,ACHOA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,12.8,0,CHMI,22,9.1,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,traffic,0,AKALA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,15.7,0,CHMI,27,18,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,suburban,0,AKOBA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,7.5,67.8,CHMI,10,10.7,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,traffic,217,ALEGA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,21.4,0,CHMI,9,9.7,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,traffic,0,ALERA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,23,0,Letiste Pr,21,14.4,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,suburban,47,ALIBA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,8.6,74.2,CHMI,9.5,9.7,0,2.9,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,traffic,0,APRUA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,13.2,0,CHMI,10,14.2,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,urban,0,AREPA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,20.7,0,CHMI,16,13.9,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,urban,0,ARIEA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,14,62.8,CHMI,8,10.5,0,4.3,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,traffic,0,ASMIA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,10.5,0,CHMI,12,16.6,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,3,fair,urban,0,ASTOA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,71.8,CHMI,14,10.3,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,suburban,0,ASUCA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,64.8,CHMI,18,9.6,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,traffic,0,AVRSA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,20,13,0,0,2018-08-14 23:47:00.0
2018-08-14 23:47 CEST,2,good,traffic,0,AVYNA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,17,61.6,CHMI,16,11.6,0,0,2018-08-14 23:47:00.0
2018-08-14 23:24 CEST,3,fair,urban,0,ABREA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,22.4,0,CHMI,19,10.4,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,urban,0,ACHOA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,12.8,0,CHMI,22,9.1,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,traffic,0,AKALA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,15.7,0,CHMI,27,18,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,suburban,0,AKOBA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,7.5,67.8,CHMI,10,10.7,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,traffic,217,ALEGA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,21.4,0,CHMI,9,9.7,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,traffic,0,ALERA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,23,0,Letiste Pr,21,14.4,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,suburban,47,ALIBA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,8.6,74.2,CHMI,9.5,9.7,0,2.9,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,traffic,0,APRUA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,13.2,0,CHMI,10,14.2,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,urban,0,AREPA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,20.7,0,CHMI,16,13.9,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,urban,0,ARIEA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,14,62.8,CHMI,8,10.5,0,4.3,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,traffic,0,ASMIA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,10.5,0,CHMI,12,16.6,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,3,fair,urban,0,ASTOA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,71.8,CHMI,14,10.3,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,suburban,0,ASUCA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,64.8,CHMI,18,9.6,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,traffic,0,AVRSA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,20,13,0,0,2018-08-14 23:24:00.0
2018-08-14 23:24 CEST,2,good,traffic,0,AVYNA,2018-08-14 20:00:00.0 UTC,2018-08-14 21:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,17,61.6,CHMI,16,11.6,0,0,2018-08-14 23:24:00.0
2018-08-14 22:48 CEST,3,fair,urban,0,ABREA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ABREA,50.084385,14.380116,Praha 6-Brevnov,20.9,0,CHMI,17,10.5,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,urban,0,ACHOA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ACHOA,50.03017,14.51745,Praha 4-Chodov,11.7,0,CHMI,8,8.8,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,traffic,0,AKALA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,AKALA,50.094238,14.442049,Praha 8-Karlin,17,0,CHMI,20,17.5,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,suburban,0,AKOBA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,AKOBA,50.122189,14.467578,Praha 8-Kobylisy,6.5,71.6,CHMI,13,11,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,traffic,213,ALEGA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ALEGA,50.072388,14.430673,Praha 2-Legerova,24.3,0,CHMI,9,10.3,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,traffic,0,ALERA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ALERA,50.107086,14.257226,Letiste Praha,15.3,0,Letiste Pr,14,14.8,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,suburban,47,ALIBA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ALIBA,50.007305,14.445933,Praha 4-Libus,11.5,69.8,CHMI,6.7,9.9,0,4.8,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,traffic,0,APRUA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,APRUA,50.062298,14.53782,Praha 10-Prumyslova,13.8,0,CHMI,9,15.1,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,urban,0,AREPA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,AREPA,50.088066,14.42922,Praha 1-n. Republiky,21.4,0,CHMI,22,14.3,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,urban,0,ARIEA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ARIEA,50.081482,14.442692,Praha 2-Riegrovy sady,15.1,63.2,CHMI,9,11,0,3.5,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,traffic,0,ASMIA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ASMIA,50.073135,14.398141,Praha 5-Smichov,17.6,0,CHMI,6,17.2,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,urban,0,ASTOA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ASTOA,50.046131,14.331413,Praha 5-Stodulky,0,69.2,CHMI,1,10.3,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,3,fair,suburban,0,ASUCA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,ASUCA,50.12653,14.384639,Praha 6-Suchdol,0,69,CHMI,6,9.4,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,2,good,traffic,0,AVRSA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,AVRSA,50.066429,14.446152,Praha 10-Vrsovice,0,0,CHMI,15,13.2,0,0,2018-08-14 22:48:00.0
2018-08-14 22:48 CEST,0,Incomplete data,traffic,0,AVYNA,2018-08-14 19:00:00.0 UTC,2018-08-14 20:00:00.0 UTC,airqualityreports,AVYNA,50.11108,14.503096,Praha 9-Vysocany,0,64.4,CHMI,19,12.2,0,0,2018-08-14 22:48:00.0
